property_id,property_name,category,city
16558,Atliq Grands,Luxury,Delhi
16559,Atliq Exotica,Luxury,Mumbai
16560,Atliq City,Business,Delhi
16561,Atliq Blu,Luxury,Delhi
16562,Atliq Bay,Luxury,Delhi
16563,Atliq Palace,Business,Delhi
17558,Atliq Grands,Luxury,Mumbai
17559,Atliq Exotica,Luxury,Mumbai
17560,Atliq City,Business,Mumbai
17561,Atliq Blu,Luxury,Mumbai
17562,Atliq Bay,Luxury,Mumbai
17563,Atliq Palace,Business,Mumbai
18558,Atliq Grands,Luxury,Hyderabad
18559,Atliq Exotica,Luxury,Hyderabad
18560,Atliq City,Business,Hyderabad
18561,Atliq Blu,Luxury,Hyderabad
18562,Atliq Bay,Luxury,Hyderabad
18563,Atliq Palace,Business,Hyderabad
19558,Atliq Grands,Luxury,Bangalore
19559,Atliq Exotica,Luxury,Bangalore
19560,Atliq City,Business,Bangalore
19561,Atliq Blu,Luxury,Bangalore
19562,Atliq Bay,Luxury,Bangalore
19563,Atliq Palace,Business,Bangalore
17564,Atliq Seasons,Business,Mumbai
